Station_number,Year,Month,Day,min,max,Rainfall,Solar_exposure
86344,2002,4,12,15,21,0.6,-
86344,2002,4,13,14,16,20,-
86344,2002,4,14,14,17,-,-
86344,2002,4,20,16,17,-,-
86344,2002,4,23,14,20,0.2,-
86344,2002,4,24,14,23,0.2,-
86344,2002,4,25,15,17,4,-
86344,2002,4,26,12,16,-,-
86344,2002,5,10,10,16,6,-
86344,2002,5,13,14,16,1,-
86344,2002,5,16,13,17,3,-
86344,2002,5,17,8,14,11,-
86344,2002,5,18,11,15,0.8,-
86344,2002,5,19,9.8,11,1,-
86344,2002,5,24,11,15,-,-
86344,2002,5,27,8,13,1,-
86344,2002,5,28,11,14,3,-
86344,2002,6,1,10,15,3,-
86344,2002,6,7,13.2,15.7,-,-
86344,2002,6,8,10,12,-,-
86344,2002,6,9,11,15,-,-
86344,2002,6,11,12.9,14.9,-,-
86344,2002,6,12,8.9,15,-,-
86344,2002,6,13,10,13,-,-
86344,2002,6,15,12,14,-,-
86344,2002,6,16,9,12.5,0.8,-
86344,2002,6,17,8.9,13,-,-
86344,2002,6,18,10,14,-,-
86344,2002,6,25,10,14,0.4,-
86344,2002,6,26,8.6,13,2,-
86344,2002,6,28,7,11,8,-
86344,2002,6,29,11,12,-,-
86344,2002,6,30,8,11,2,-
86344,2002,7,4,9,13,1,-
86344,2002,7,9,10,13,0.4,-
86344,2002,7,10,5,13,2,-
86344,2002,7,14,7,13,0.6,-
86344,2002,7,17,7,12,1,-
86344,2002,7,21,7,11,2,-
85291,1997,8,7,-1,1,8,4.2
85291,1997,8,8,-5,-2,2,10.2
85291,1997,8,11,-1,0,9,3.2
85291,1997,8,12,-3,-1,2,-
85291,1997,8,14,-1,0,7,7.7
85291,1997,8,15,-1,3,-,9.3
85291,1997,8,16,-1,4,9,14.8
85291,1997,8,17,-2,0,1,9.3
85291,1997,8,20,-4,5,12,-
85291,1997,8,28,-3,2,17,10.5
85291,1997,8,30,0,8,-,11.6
85291,1997,8,31,2,5,-,4.8
85291,1997,9,1,0,7,-,8.9
85291,1997,9,2,2,7,-,7.5
85291,1997,9,3,0,5,-,13.9
85291,1997,9,4,0,4,-,5.8
85291,1997,9,5,-2,3,-,13.6
85291,1997,9,6,-2,7,-,16.5
85291,1997,9,7,0,3,-,2.2
85291,1997,9,8,-2,2,-,6.7
85291,1997,9,9,-1,2,-,6.1
85291,1997,9,10,0,2,-,8.3
85291,1997,9,11,-4,8,-,18.3
85291,1997,9,12,-2,9,-,19.5
85291,1997,9,13,1,10,-,19
85291,1997,9,14,3,4,-,4.2
85291,1997,9,15,2,3,-,5
85291,1997,9,16,-2,4,-,14.3
85291,1997,9,17,-3,7,-,20.5
85291,1997,9,18,0,6,-,11.5
85291,1997,9,19,1,4,-,4.4
85291,1997,9,20,0,3,-,15.8
85291,1997,9,21,-3,5,-,18.1
85291,1997,9,22,-1,5,-,11.6
85291,1997,9,23,-3,2,-,12.8
85291,1997,9,24,-2,5,-,21.3
85291,1997,9,25,-1,7,-,20.8
85291,1997,9,26,0,5,-,11
85291,1997,9,27,3,4,-,13.3
85291,1997,9,28,-3,3,-,18.2
85291,1997,9,29,-4,7,-,22.8
85291,1997,9,30,0,9,-,24
85291,1997,10,1,2,11,-,23.5
85291,1997,10,2,6,12,-,18.8
85291,1997,10,3,-4,-1,-,7.1
85291,1997,10,4,-4,5,-,23.5
85291,1997,10,5,-1,4,-,16.7
85291,1997,10,6,-3,7.4,-,24.6
85291,1997,10,7,3.2,11,-,18.6
85291,1997,10,8,1,7,-,4.3
85291,1997,10,9,1,13,-,24
85291,1997,10,10,8.8,16,-,19.3
85291,1997,10,11,7,12,-,24
85291,1997,10,12,0,2,-,11.8
85291,1997,10,13,-4,5,-,19.8
85291,1997,10,14,-3,6,-,12.1
85291,1997,10,18,-5,-1,-,20.9
85291,1997,10,19,-5,-1,-,13.5
85291,1997,10,20,-2,0,-,5.4
85291,1997,10,21,-3,12,-,12.7
85291,1997,10,22,2,11,-,26.3
85291,1997,10,23,5,14,-,26.8
85291,1997,10,24,8,18,-,27.7
85291,1997,10,25,10,19,-,21.7
85291,1997,10,26,12,20,-,20.3
85291,1997,10,27,6,16,-,-
85291,1997,10,28,4,15,-,-
85291,1997,10,29,5,11,-,-
85291,1997,10,30,5,14.5,-,18.7
85291,1997,10,31,8,12,-,6
85291,1997,11,1,1,6,-,18.8
85291,1997,11,2,0,4,-,12.6
85291,1997,11,3,-1,7,-,9.9
85291,1997,11,4,-1,11,-,26.1
85291,1997,11,5,3,15,-,24.9
85291,1997,11,6,8,17,-,22.5
85291,1997,11,7,7,14,-,30.3
85291,1997,11,8,3,14,-,30.7
85291,1997,11,9,7,17,-,30.3
85291,1997,11,10,11,15,-,14.2
85291,1997,11,11,7,7,-,9.3
85291,1997,11,12,-1,7,-,23.2
85291,1997,11,13,0,14,-,31.1
85291,1997,11,14,6,9,-,2.5
85291,1997,11,15,-2,3,-,12.8
85291,1997,11,16,-3,4,-,20.8
85291,1997,11,17,-4,1,-,17
85291,1997,11,18,-4,5,-,12.9
85291,1997,11,19,0,10,-,19.6
85291,1997,11,20,1,10,-,26.3
85291,1997,11,21,2,17,-,32.5
85291,1997,11,22,10,20,-,32.7
85291,1997,11,23,12,23,-,26.7
85291,1997,11,24,6,19,-,32.7
85291,1997,11,25,12,24,-,32
85291,1997,11,26,17,25,-,20.2
85291,1997,11,29,4,14,-,10.5
85291,1997,11,30,1,10,-,22.4
85291,1997,12,1,3,14,-,29.9
85291,1997,12,2,6,9,-,20
85291,1997,12,3,-1,9,-,27.3
85291,1997,12,4,0,13,-,26.8
85291,1997,12,5,5,15,-,22.5
85291,1997,12,6,8,15,-,16.2
85291,1997,12,9,8,12,-,18.7
85291,1997,12,10,3,13,-,-
85291,1997,12,11,3,19,-,-
85291,1997,12,14,8,12,-,22.1
85291,1997,12,15,1,7,-,18.3
85291,1997,12,16,1,14,-,31.2
85291,1997,12,17,4,15,-,29.8
85291,1997,12,18,7,15,-,17.1
85291,1997,12,19,5,12,-,15
85291,1997,12,22,1,9,-,22.6
85291,1997,12,23,1,10,-,19.7
85291,1997,12,24,2,14,-,-
85291,1997,12,25,6,19,-,34
85291,1997,12,26,5,9,-,24.4
85291,1997,12,27,-1,11,-,28.9
85291,1997,12,28,0,16,-,34.3
85291,1997,12,31,13,21,-,29.1
85291,1998,1,1,15,25,-,-
85291,1998,1,2,15,24,-,18.6
85291,1998,1,3,5,13,-,21.7
85291,1998,1,4,4,15,-,32.8
85291,1998,1,5,4,14,-,28.3
85291,1998,1,6,4,14,-,23.7
85291,1998,1,7,10,17,-,13.2
85291,1998,1,8,9,14,-,13.1
85291,1998,1,9,7,17,3,14.9
85291,1998,1,10,11,18,8,16
85291,1998,1,11,11,21,0.2,26.1
85291,1998,1,13,13,22,14,18.2
85291,1998,1,14,13,20,17,19
85291,1998,1,15,6,14,12,27.9
85291,1998,2,12,12,18,3,25.8
85291,1998,2,13,3,15,-,26.2
85291,1998,2,16,-1,1,19,5.7
85291,1998,2,17,-1,9,21,25.1
85291,1998,2,18,1,16,9,-
85291,1998,2,20,2,7,0.6,17.1
85291,1998,2,21,1,13,0.2,27
85291,1998,2,23,0,14,0.4,26.5
85291,1998,2,27,7.8,11,3,12.5
85291,1998,2,28,0,14,0.6,24.1
85291,1998,3,1,5,17,0.2,23.9
85291,1998,3,6,1,6,-,7.1
85291,1998,3,7,0,7,14,18.6
85291,1998,3,8,1,13,0.8,24.9
85291,1998,3,14,4,7,-,4.1
85291,1998,3,19,4,19,0.2,23.1
85291,1998,3,31,2,5,0.2,9.5
85291,1998,4,1,-1,8,16,5.3
85291,1998,4,2,-1,11,2,19.9
85291,1998,4,13,-2,1,-,4.7
85291,1998,4,14,-2,3,5,6.5
85291,1998,4,15,-1,7,10,16.5
85291,1998,4,16,2,11,0.2,15.6
85291,1998,4,21,0,9,-,7
85291,1998,4,24,4,11,0.2,13.9
85291,1998,4,26,-1,4,15,0.7
85291,1998,5,1,-3,4,8,10.7
85291,1998,5,2,-1,8,3,12.8
85291,1998,5,3,2,9,0.2,9.1
85291,1998,5,6,3,8,-,11.4
85291,1998,5,11,-3,3,13,2.7
85291,1998,5,12,1,5,9,3.8
85291,1998,5,15,6,7,2,1.4
85291,1998,5,19,5,11,-,10.5
85291,1998,5,24,-1,2,8,1.1
